"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","TAVG","TMAX","TMIN"
"IN017042600","CUTTACK, IN","20.467","85.933","27.0","2005-05-19",,"82",,
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","1973-01-01",,"76",,
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","1973-01-02",,"80",,
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","1973-01-03",,"75",,
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","1973-01-04",,"78",,
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","1973-01-06",,"78","91","63"
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","1973-01-07",,"76","93","63"
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","1973-01-08",,"78","91","63"
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","1973-01-09",,"78","91","66"
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","1973-01-10",,"78","91","63"
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","1973-01-11",,"79","90","66"
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","1973-01-12",,"83",,
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","1973-01-13",,"73","90","66"
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","1973-01-14",,"76","88",
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","1973-01-15",,"78","90","66"
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","1973-01-16",,"73",,"63"
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","1973-01-17",,"74","86","59"
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","1973-01-18",,"73","86","57"
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","1973-01-20",,"77","90","64"
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","1973-01-21",,"79","91","66"
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","1973-01-22",,"74",,"68"
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","1973-01-23",,"72","82","64"
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","1973-01-25",,"77","88",
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","1973-01-26",,"73","86","61"
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","1973-01-27",,"74","88","61"
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","1973-01-28",,"73",,
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","1973-01-29",,"78","84","59"
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","1973-01-30",,"73","82",
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","1973-01-31",,"77","88","63"
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","1973-02-01",,"77","88","64"
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","1973-02-02",,"75","86","64"
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","1973-02-03",,"76","88","64"
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","1973-02-04",,"73","88","66"
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","1973-02-05",,"78","88",
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","1973-02-06",,"75","88","66"
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","1973-02-07",,"74","86",
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","1973-02-08",,"75","88",
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","1973-02-09",,"77","88","64"
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","1973-02-10",,"80","91","64"
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","1973-02-11",,"80","91",
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","1973-02-12",,"81","91","66"
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","1973-02-13",,"82","95","66"
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","1973-02-14",,"80",,"68"
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","1973-02-15",,"75",,"70"
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","1973-02-16",,"79","95",
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","1973-02-18",,"85","97","73"
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","1973-02-21",,"88","95",
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","1973-02-22",,"84",,"68"
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","1973-02-25",,"81","97","66"
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","1973-02-26",,"83","95","73"
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","1973-02-28",,"81","90",
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","1973-03-01",,"84","91",
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","1973-03-02",,"76",,
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","1973-03-03",,"74","84","64"
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","1973-03-08",,"79","88",
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","1973-03-09",,"80","91",
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","1973-03-10",,"82","91","73"
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","1973-03-11",,"82","97","73"
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","1973-03-12",,"86",,"75"
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","1973-03-14",,"81",,"70"
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","1973-03-15",,"82",,"73"
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","1973-03-16",,"84","93",
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","1973-03-17",,"83","93",
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","1973-03-18",,"83",,"70"
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","1973-03-19",,"83","95",
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","1973-03-20",,"84","97",
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","1973-03-21",,"85","95","73"
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","1973-03-22",,"81","99","75"
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","1973-03-23",,"86","99","73"
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","1973-03-24",,"83",,"77"
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","1973-03-25",,"87","99","75"
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","1973-03-26",,"84","100",
